Organization,Department,Designation,Functional Role
"State Directorate of Economics & Statistics","Economic Census","Director","Economic Statistics"
"State Directorate of Economics & Statistics","Economic Census","Director","Social Statistics"
"State Directorate of Economics & Statistics","Economic Census","Director","Demographic Statistics"
"State Directorate of Economics & Statistics","Economic Census","Director","Statistical Computing"
"State Directorate of Economics & Statistics","Economic Census","Director","Data Management"
"State Directorate of Economics & Statistics","Economic Census","Director","Data Governance"
"State Directorate of Economics & Statistics","Economic Census","Director","Policy Analysis"
"State Directorate of Economics & Statistics","Economic Census","Director","Programme Management"
"State Directorate of Economics & Statistics","Economic Census","Director","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","Economic Census","Director","Training & Capacity Building"
"State Directorate of Economics & Statistics","Economic Census","Director","Administration"
"State Directorate of Economics & Statistics","Economic Census","Director","Finance & Accounts"
"State Directorate of Economics & Statistics","Economic Census","Director","IT / Digital Systems"
"State Directorate of Economics & Statistics","Economic Census","Director","Database Management"
"State Directorate of Economics & Statistics","Economic Census","Director","AI / Machine Learning"
"State Directorate of Economics & Statistics","Economic Census","Director","Cyber Security"
"State Directorate of Economics & Statistics","Economic Census","Director","e-Governance"
"State Directorate of Economics & Statistics","Economic Census","Director","Learning & Development"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Statistical Analysis"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Data Analysis"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Survey Operations"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Sampling"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Data Quality & Validation"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Research & Analysis"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Economic Statistics"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Social Statistics"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Demographic Statistics"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Statistical Computing"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Data Management"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Data Governance"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Policy Analysis"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Programme Management"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Training & Capacity Building"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Administration"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Finance & Accounts"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","IT / Digital Systems"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Database Management"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","AI / Machine Learning"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Cyber Security"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","e-Governance"
"State Directorate of Economics & Statistics","Economic Census","Deputy Director","Learning & Development"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Statistical Analysis"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Data Analysis"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Survey Operations"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Sampling"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Data Quality & Validation"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Research & Analysis"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Economic Statistics"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Social Statistics"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Demographic Statistics"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Statistical Computing"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Data Management"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Data Governance"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Policy Analysis"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Programme Management"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Monitoring & Evaluation"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Training & Capacity Building"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Administration"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Finance & Accounts"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","IT / Digital Systems"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Database Management"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","AI / Machine Learning"
"State Directorate of Economics & Statistics","Economic Census","Senior Statistical Officer","Cyber Security"
